title,word,score
모가디슈,고립,1.5965970956264601
모가디슈,대사관,1.5965970956264601
모가디슈,목표,1.5965970956264601
모가디슈,내전,1.197447821719845
모가디슈,대한,1.197447821719845
모가디슈,직원,1.197447821719845
모가디슈,가족,1.197447821719845
모가디슈,총알,1.197447821719845
모가디슈,포탄,1.197447821719845
모가디슈,하루하루,1.197447821719845
모가디슈,북한,1.197447821719845
모가디슈,일행,1.197447821719845
모가디슈,요청,1.197447821719845
모가디슈,모가디슈에,1.197447821719845
모가디슈,탈출,1.197447821719845
모가디슈,통신,1.197447821719845
모가디슈,곳,1.197447821719845
모가디슈,내전,1.197447821719845
모가디슈,동분서주,1.197447821719845
모가디슈,모,1.197447821719845
모가디슈,지금,1.197447821719845
모가디슈,우리,1.197447821719845
모가디슈,대한,1.197447821719845
모가디슈,가입,1.197447821719845
프리가이,가이,1.5965970956264601
프리가이,시티,1.5965970956264601
프리가이,프리,1.5965970956264601
프리가이,배경,1.3304975796887166
프리가이,한눈,1.0643980637509733
프리가이,부족,1.0643980637509733
프리가이,상상,1.0643980637509733
프리가이,혼란,1.0643980637509733
프리가이,그녀,1.0643980637509733
프리가이,엔,1.0643980637509733
프리가이,전,1.0643980637509733
프리가이,노력,1.0643980637509733
프리가이,경고,1.0643980637509733
프리가이,파괴,1.0643980637509733
프리가이,직장,1.0643980637509733
프리가이,비디오,1.0643980637509733
프리가이,게임,1.0643980637509733
프리가이,뭐,1.0643980637509733
프리가이,그,1.0643980637509733
프리가이,파괴,1.0643980637509733
프리가이,반란,1.0643980637509733
프리가이,잔,1.0643980637509733
프리가이,커피,1.0643980637509733
이스케이프 룸 2 : 노 웨이 아웃,탈출,1.5965970956264601
이스케이프 룸 2 : 노 웨이 아웃,출구,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,6,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,칸,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,초고압,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,그곳,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,게임,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,뉴욕,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,생존자,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,게임,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,시작,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,배경,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,상황,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,사투,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,남자,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,분리,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,설계,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,게임,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,게임,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,조직,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,미노스,1.197447821719845
이스케이프 룸 2 : 노 웨이 아웃,안,1.0653793774280842
이스케이프 룸 2 : 노 웨이 아웃,뉴욕,1.0653793774280842
이스케이프 룸 2 : 노 웨이 아웃,그,1.0653793774280842
크라운 빅,만취,1.5965970956264601
크라운 빅,범죄,1.5965970956264601
크라운 빅,사건,1.5965970956264601
크라운 빅,강도,1.5965970956264601
크라운 빅,살해,1.5965970956264601
크라운 빅,경찰,1.5965970956264601
크라운 빅,전쟁터,1.5965970956264601
크라운 빅,위,1.5965970956264601
크라운 빅,도로,1.5965970956264601
크라운 빅,발생,1.5965970956264601
크라운 빅,도심,1.5965970956264601
크라운 빅,강력,1.5965970956264601
크라운 빅,목격,1.5965970956264601
크라운 빅,닉,1.5965970956264601
크라운 빅,신참,1.5965970956264601
크라운 빅,근무,1.5965970956264601
크라운 빅,순찰,1.5965970956264601
크라운 빅,베테랑,1.5965970956264601
크라운 빅,경찰,1.5965970956264601
크라운 빅,12,1.5965970956264601
크라운 빅,레이,1.420505836570779
크라운 빅,무장,1.420505836570779
캐시트럭,아들,1.5965970956264601
캐시트럭,캐시트럭,1.3304975796887166
캐시트럭,분노,1.1837548638089823
캐시트럭,자비,1.0643980637509733
캐시트럭,응징,1.0643980637509733
캐시트럭,범인,1.0643980637509733
캐시트럭,처리,1.0643980637509733
캐시트럭,위장,1.0643980637509733
캐시트럭,자,1.0643980637509733
캐시트럭,급부상,1.0643980637509733
캐시트럭,에이스,1.0643980637509733
캐시트럭,자랑,1.0643980637509733
캐시트럭,실력,1.0643980637509733
캐시트럭,사격,1.0643980637509733
캐시트럭,백발,1.0643980637509733
캐시트럭,취업,1.0643980637509733
캐시트럭,임무,1.0643980637509733
캐시트럭,회사,1.0643980637509733
캐시트럭,범인,1.0643980637509733
캐시트럭,강도,1.0643980637509733
캐시트럭,스타,1.0643980637509733
캐시트럭,폭발,1.0643980637509733
캐시트럭,호송,1.0643980637509733
캐시트럭,현금,1.0643980637509733
모탈 컴뱃,컴,1.5965970956264601
모탈 컴뱃,모,1.5965970956264601
모탈 컴뱃,어스,1.197447821719845
모탈 컴뱃,선택,1.197447821719845
모탈 컴뱃,전사,1.197447821719845
모탈 컴뱃,사전,1.197447821719845
모탈 컴뱃,제거,1.197447821719845
모탈 컴뱃,서브,1.197447821719845
모탈 컴뱃,야,1.197447821719845
모탈 컴뱃,지구,1.197447821719845
모탈 컴뱃,가족,1.197447821719845
모탈 컴뱃,보호,1.197447821719845
