title,year,country,genres,time,new_genres
Blanco en Blanco,2019,"스페인,칠레,프랑스,독일",드라마,1시간 40분,드라마
Tooth,2017,한국,드라마,7분,정보없음
스포주의,2017,한국,드라마/코미디/단편,16분,코미디
Beloved,2017,한국,드라마/단편,29분," <a href=""?where=nexearch&amp;sm=tab_etc&amp;qvt=0&amp;query=Toni%20Morrison"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_xh3*z.aut&amp;r=1&amp;i=00000000_000000000000&amp;u=' + urlencode(this.href));"">Toni Morrison</a> </dd>, "
Dylda,2019,러시아,드라마/전쟁,2시간 17분,드라마
허도령,2017,한국,단편,26분,정보없음
감자,2017,한국,단편,9분,드라마
江湖兒女,2018,"중국,프랑스,일본",드라마/로맨스,2시간 15분,정보없음
Wrath of Man,2021,"영국,미국",액션/범죄/스릴러,1시간 59분,액션
Days of Sunhwa,2018,한국,드라마/단편,0분,드라마
스트레인저,2018,한국,미스터리/단편/드라마,13분," <a href=""http://skylifetv.co.kr/NQQ/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*z.channel&amp;r=1&amp;i=00000012_000000F63D37&amp;u=' + urlencode(this.href));"">NQQ</a>, <a href=""https://www.discoverykorea.com/content/main/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*z.channel&amp;r=1&amp;i=00000012_000000F63D37&amp;u=' + urlencode(this.href));"">디스커버리 채널 코리아</a> "
"하린, 고양이 그리고 태현",2015,한국,단편,11분,정보없음
50대50,2013,한국,드라마,1분,코미디
The Monologue,2018,한국,드라마,30분,드라마
At Eternity's Gate,2018,"아일랜드,스위스,영국,프랑스,미국",드라마,1시간 51분,드라마
청춘과부,2016,한국,코미디,30분,코미디
이상한 영화,2017,한국,드라마,28분,드라마
멈추지 마,2015,한국,드라마/단편,8분,"2015.07.30.</dd>, "
아빠 어디가,2015,한국,단편,19분," <a href=""http://www.imbc.com/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*K.sumchannel&amp;r=1&amp;i=00000012_00000019AE42&amp;u=' + urlencode(this.href));"">MBC</a> "
The Professor and the Madman,2019,"미국,아일랜드,프랑스,아이슬란드,멕시코,벨기에,영국,홍콩",미스터리/드라마/스릴러,2시간 4분,드라마
The Conjuring,2013,미국,공포/미스터리/스릴러,1시간 52분,공포
Mumbling Gum,2017,한국,드라마,26분,가족
1킬로그램,2015,한국,드라마,29분,드라마
모두의 비밀,2015,한국,단편,37분,정보없음
우리 선희,2013,한국,드라마/로맨스,1시간 29분,드라마
Üç Maymun,2008,"이탈리아,프랑스,터키",드라마,1시간 49분,정보없음
Cruella,2021,미국,코미디/범죄,2시간 14분,드라마
치석,2017,한국,드라마/단편,11분,정보없음
등산남녀,2017,한국,단편,9분,정보없음
인트로덕션,2021,한국,드라마,1시간 6분,한국
A Crevice of Violence,2015,한국,드라마,27분,드라마
윗층의 꼬마,2016,한국,단편/드라마,12분,드라마
Apples,2021,"그리스,폴란드,슬로베니아",코미디/드라마,1시간 30분,드라마
누구의 딸도 아닌 해원,2012,한국,드라마,1시간 30분,드라마
The Noodle,2016,한국,7분,전체 관람가,한국
Army of the Dead,2021,미국,액션/공포/SF,2시간 28분,액션
Initiation Love,2015,일본,스릴러/미스터리/로맨스,1시간 49분,멜로/로맨스
ATM,2014,한국,단편,14분,정보없음
북촌방향,2011,한국,드라마/로맨스,1시간 19분,드라마
F9,2020,미국,액션/모험/범죄/스릴러,2시간 15분,액션
A Lonely Bird,2015,한국,18분,전체 관람가,드라마
다른 나라에서,2011,한국,드라마/로맨스,1시간 29분,드라마
escapin´,2015,한국,단편,10분,한국
타이레놀,2014,한국,드라마,25분,정보없음
혼자 사는 사람들,2021,한국,드라마,1시간 31분,드라마
Lovers,2015,한국,로맨스/드라마,24분,정보없음
Thicker Than Water,2014,한국,판타지,14분,정보없음
팡팡이 익스프레스,2014,한국,단편/드라마,20분,한국
"Quo Vadis, Aida?",2021,"보스니아 헤르체고비나,오스트리아,루마니아,네덜란드,독일,폴란드,프랑스,터키,노르웨이",드라마/역사/전쟁,1시간 41분,드라마
Method,2015,한국,13분,전체 관람가,정보없음
A Bigger Splash,2015,"이탈리아,프랑스",드라마/음악/스릴러,2시간 4분,멜로/로맨스
紙の月,2014,일본,드라마,2시간 6분,드라마
정오의 픽션,2014,한국,드라마,23분,정보없음
파르티잔,2015,한국,13분,전체 관람가,한국
절대연필,2015,한국,코미디/드라마/단편,8분,코미디
Spiral: From the Book of Saw,2021,미국,범죄/공포/미스터리/스릴러,1시간 33분,스릴러
The lunch date,2014,한국,코미디,8분,미국
Cut Glass Bowl,2014,한국,19분,전체 관람가,한국
미지의 섬,2013,한국,드라마,16분,드라마
붉은 누에,2014,한국,드라마,26분,정보없음
옥희의 영화,2010,한국,코미디/드라마/로맨스,1시간 20분,드라마
Grbavica,2005,보스니아 헤르체고비나,전쟁/드라마,1시간 34분,드라마
Ma ma,2015,"스페인,프랑스",드라마,1시간 51분,정보없음
하하하,2010,한국,드라마/로맨스/코미디,1시간 55분,드라마
하나도 안 괜찮아,2014,한국,드라마,21분,드라마
Those Who Wish Me Dead,2021,"캐나다,미국",액션/드라마/스릴러,1시간 39분,범죄
The Dig,2021,영국,드라마/역사,1시간 52분,정보없음
Greed,2014,한국,스릴러/드라마/단편,19분,정보없음
소풍,2013,한국,드라마,10분," <a href=""http://www.imbc.com/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*z.channel&amp;r=1&amp;i=00000012_0000000A12CF&amp;u=' + urlencode(this.href));"">MBC</a> "
Wind River,2017,"영국,미국,캐나다",범죄/드라마/미스터리/스릴러,1시간 47분,서스펜스
The Courier,2021,영국,드라마,1시간 51분,스릴러
비와 당신의 이야기,2020,한국,드라마/로맨스,1시간 57분,드라마
오늘 너는,2013,한국,드라마/단편,11분,드라마
23℃,2013,한국,드라마,12분,드라마
TAXY DRIVER,2013,한국,드라마,12분,한국
Papillon,2017,"체코,스페인",모험/범죄/드라마/미스터리/스릴러,2시간 13분,정보없음
Zack Snyder's Justice League,2021,미국,액션/모험/판타지,4시간 00분,액션
12 Years a Slave,2013,"미국,영국",역사/드라마,2시간 14분,드라마
파고,2014,한국,단편,25분,범죄
Season of Cruelty,2013,한국,10분,전체 관람가,한국
Judas and the Black Messiah,2021,미국,드라마/역사,2시간 6분,드라마
내일의 기억,2021,한국,미스터리/스릴러,1시간 39분,미스터리
A Cold,2014,한국,14분,전체 관람가,다큐멘터리
Sound of Metal,2019,미국,드라마/음악,2시간 10분,드라마
서복,2020,한국,SF/액션/드라마,1시간 54분,드라마
놀랍도록 줄어든 사나이,2013,한국,단편,12분,한국
Mentor,2014,한국,드라마,24분,정보없음
Nobody,2021,미국,액션/코미디,1시간 32분,액션
Boycott,2013,한국,23분,전체 관람가,한국
자산어보,2019,한국,시대극/역사,2시간 6분,드라마
Nomadland,2021,"미국,독일",드라마,1시간 48분,드라마
Green Door,2014,한국,드라마,22분,한국
낙원의 밤,2020,한국,범죄,2시간 11분,범죄
Starred Up,2013,영국,범죄/드라마,1시간 45분,드라마
The Boy,2013,한국,단편/판타지/로맨스,12분,공포
Les misérables,2019,프랑스,범죄/드라마,1시간 44분," <a href=""http://www.tf1.fr/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*z.channel&amp;r=1&amp;i=00000012_000000375CB5&amp;u=' + urlencode(this.href));"">프랑스 TF1</a> "
"Three Billboards Outside Ebbing, Missouri",2017,"미국,영국",범죄/드라마,1시간 55분,드라마
Mayhem,2017,미국,액션/공포,1시간 28분,액션
The Kindness of Strangers,2019,"덴마크,캐나다,스웨덴,프랑스,독일,영국,미국",드라마,1시간 52분,드라마
Fish Out of Water,2016,한국,애니메이션,10분,정보없음
Last Interview,2012,한국,판타지/드라마,18분,한국
Pokerface Girl,2012,한국,드라마,20분,드라마
아무도 없는 곳,2019,한국,드라마,1시간 23분,드라마
도깨비불,2015,한국,단편,23분,정보없음
When September Ends,2013,한국,드라마,23분,드라마
on the other side of you,2012,한국,드라마,16분,드라마
Ayka,2018,"러시아,독일,폴란드,중국,프랑스,카자흐스탄",드라마,1시간 54분,드라마
닥터 본,2018,한국,애니메이션/단편,4분,정보없음
スパイの妻,2020,일본,전쟁/드라마,1시간 55분," <a href=""https://www.nhk.or.jp/bs4k8k/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*K.sumchannel&amp;r=1&amp;i=00000012_000000D9B5CF&amp;u=' + urlencode(this.href));"">일본 BS8K</a> "
Godzilla vs. Kong,2021,미국,액션/SF/스릴러,1시간 53분,액션
Johnny Express,2014,한국,애니메이션/단편,6분,애니메이션
The Elephant's Garden,2013,호주,애니메이션,4분,애니메이션
Zygote,2017,캐나다,단편/공포/SF,23분,공포
Firebase,2017,캐나다,단편/공포/SF/전쟁/액션,27분,정보없음
Rakka,2017,캐나다,단편/공포/SF/전쟁,22분,공포
Welcome,2016,한국,애니메이션/코미디,7분,정보없음
캐쉬백,2019,한국,코미디,25분,코미디
Sakebi,2006,일본,공포/스릴러,1시간 44분,공포
Supernova,2016,한국,단편/애니메이션,5분,드라마
잘 알지도 못하면서,2009,한국,드라마/로맨스,2시간 6분,드라마
トウキョウソナタ,2008,"일본,네덜란드,홍콩",드라마/가족,1시간 59분,정보없음
징후,2012,한국,드라마,25분,드라마
Between you and me,2017,한국,코미디/단편,13분,코미디
The Girl Burying Bodies,2016,한국,드라마,18분,한국
Haircut,2016,한국,드라마,6분,정보없음
The Mauritanian,2021,"영국,미국",스릴러/드라마,2시간 9분,스릴러
