title,year,country,genres,time
Soul,2020,미국,애니메이션/모험/가족/SF/판타지/코미디,1시간 40분
인질,2021,한국,액션/스릴러,1시간 34분
Palm Springs,2020,미국,코미디/판타지/미스터리,1시간 30분
シン・エヴァンゲリオン劇場版𝄇,2021,일본,애니메이션/SF/액션,2시간 35분
Old,2021,미국,드라마/미스터리/스릴러/공포,1시간 48분
싱크홀,2020,한국,드라마/재난,1시간 53분
The Green Knight,2021,"미국,아일랜드",드라마/판타지/로맨스,2시간 10분
Free Guy,2021,미국,액션/모험/코미디,1시간 55분
A Ghost Story,2017,미국,로맨스/판타지/드라마,1시간 32분
The Suicide Squad,2021,미국,액션/모험/코미디/SF,2시간 12분
Phoenix,2014,독일,드라마,1시간 38분
In Search of Fellini,2017,미국,드라마/로맨스/모험,1시간 33분
방법: 재차의,2021,한국,미스터리,1시간 49분
Jungle Cruise,2021,미국,액션/모험,2시간 7분
모가디슈,2020,한국,액션/드라마,2시간 1분
The Expendables 3,2014,"미국,프랑스,독일,불가리아",액션/모험/스릴러,2시간 7분
킹덤: 아신전,2021,한국,액션/드라마/판타지/공포/스릴러,1시간 33분
Space Jam: A New Legacy,2021,미국,애니메이션/모험/코미디/가족,2시간 00분
The Medium,2021,"한국,태국",공포/드라마,2시간 11분
The Forever Purge,2021,미국,공포,1시간 43분
Escape Room,2019,"미국,남아프리카 공화국",액션/모험/공포/미스터리/스릴러,1시간 39분
Escape Room: Tournament of Champions,2021,미국,미스터리/액션/공포/스릴러,1시간 28분
花束みたいな恋をした,2020,일본,로맨스/드라마,2시간 3분
Black Widow,2021,미국,액션/모험/SF,2시간 13분
In the Heights,2021,미국,드라마/음악/로맨스,2시간 22분
Dating Amber,2020,"아일랜드,벨기에,미국,영국",틴에이저/코미디/드라마/로맨스,1시간 32분
클라이밍,2020,한국,애니메이션,1시간 17분
발신제한,2021,한국,스릴러/드라마,1시간 34분
Luca,2021,미국,애니메이션/모험/가족/판타지/코미디,1시간 35분
